direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
LONG,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,132,0.662029660387,0.323179069797
SHORT,1,0,-1.00086902405,-1.00086902405,-1.00086902405,-1,0,216,0.986342292306,0.434512023042
