strategy,candidate_id,configuration_id,parameter_hash,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak,positive_folds,total_folds,positive_fold_share,top_1_fold_positive_R_share,top_2_fold_positive_R_share,verdict
T2,T2_M30_candidate_v1,T2-M30-0008-2b0494cdd24b,2b0494cdd24bfbfa8ce7d657d6f83d1408f07b9f565d38d093dec5b4856e3c00,67,1.24573377987,0.114825006411,7.69327542954,-9.20677620733,0.835610126313,0.313432835821,-0.447555078504,11,3,1,3,0.333333333333,0.582240088645,0.867719844612,WALK_FORWARD_BORDERLINE
T3,T3_M30_candidate_v1,T3-M30-0020-816e9e819790,816e9e819790e1523aa5408bc1437119fae03f840c9e672c74f9974983e429c3,60,1.86427903047,0.358769755588,21.5261853353,-8.94922459666,2.40536876718,0.416666666667,-0.291326893648,6,4,2,3,0.666666666667,0.496132790374,0.853360098949,WALK_FORWARD_PASS
